specialization_id,title,field_id,description,roadmap_id
1,Frontend Developer,1,Front-End Developers are responsible for creating the user interface and user experience on websites and web applications. They focus on designing and building the visible components that users interact with.,1
2,Backend Developer,1,"Back-End Developers work on the server-side of web applications, managing data, server infrastructure, and the logic that powers the functionality of websites and web services.",2
3,Full Stack Developer,1,"Full Stack Developers have expertise in both Front-End and Back-End development, allowing them to work on all aspects of web applications, from user interfaces to server logic.",3
4,Software Engineer,1,"Software Engineers design and develop software applications, focusing on creating efficient, maintainable, and scalable code.",4
5,Software Developer,1,"Software Developers write, test, and maintain software applications to meet specific requirements, ensuring functionality and performance.",5
6,Mobile App Developer,1,"Mobile App Developers specialize in creating applications for smartphones and tablets, optimizing them for the respective platforms.",6
92,Web Developer,1,"A web developer’s job is to create websites. While their primary role is to ensure the website is visually appealing and easy to navigate, many web developers are also responsible for the website’s performance and capacity.",92
65,Php Developer,1,A PHP developer works as part of a team in programming applications that are often web-based for clients. Key duties of this role include the writing of PHP scripts and coding to create or modify software and applications according to a clients needs,65
71,Reactjs Developer,1,"A React Developer is responsible for developing and maintaining web applications using the React.js library. The role requires proficiency in JavaScript, knowledge of React.js and its core principles, and experience with modern front-end build pipelines and tools.",71
42,Application Developer,1,An Application Developer is a professional responsible for designing and coding functional software programs and applications,42
12,Business Intelligence (BI) Developer,2,BI Developers create data dashboards and reports to help organizations make data-driven decisions.,12
13,Machine Learning Engineer,2,Machine Learning Engineers develop and deploy machine learning models to solve specific problems or automate tasks.,13
14,AI Engineer,2,"AI Engineers work on AI projects, including speech recognition, image analysis, and chatbots.",14
44,Business Analyst,2,"A business analyst (BA) is a person who processes, interprets and documents business processes, products, services and software through analysis of data. The role of a business analyst is to ensure business efficiency increases through their knowledge of both IT and business function.",44
47,Database Administrator,2,"A database administrator, or DBA, is responsible for maintaining, securing, and operating databases and also ensures that data is correctly stored and retrieved.",47
48,Database Architect/Designer,2,"A database architect is a specialized IT professional responsible for designing, creating, and managing large-scale databases used to store and organize vast amounts of digital information. These professionals possess expertise in database technologies, data modeling, and information management.",48
10,Data Scientist,2,"Data Scientists collect, analyze, and interpret large datasets to extract valuable insights, create predictive models, and support data-driven decision-making.",10
11,Data Analyst,2,"Data Analysts focus on examining data to identify trends, generate reports, and support business decisions.",11
15,Data Engineer,2,"Data Engineers build and maintain the data infrastructure needed for data collection, processing, and analysis.",15
16,UI/UX Designer,3,UI Designers focus on creating visually appealing and user-friendly interfaces for web and mobile applications. UX Designers ensure that digital products provide a seamless and enjoyable user experience.,16
54,Graphic Designer,3,"A graphic designer creates visual concepts, using computer software or by hand, to communicate ideas that inspire, inform, or captivate consumers. They work in a variety of industries, including advertising, marketing, and publishing, and use their skills to create logos, brochures, websites, packaging, and other promotional materials.",54
31,Site Reliability Engineer (SE),3,SREs focus on maintaining the reliability and availability of software services through automation and collaboration.,31
34,IT Business Analyst,3,"IT Business Analysts bridge the gap between business needs and IT solutions, identifying requirements and process improvements.",34
18,Interaction Designer,3,"Interaction Designers specialize in designing how users interact with digital interfaces, focusing on navigation and user engagement.",18
19,Visual Designer,3,"Visual Designers create graphics, illustrations, and layouts to enhance the visual appeal of digital and print materials.",19
20,Product Manager,4,"Product Managers are responsible for defining product features, setting priorities, and managing product development processes. Technical Product Managers bridge the gap between technical teams and product development, ensuring that products meet technical and business requirements.",20
35,IT Consultant,4,IT Consultants provide expert advice on IT strategies and solutions to clients.,35
64,Network Manager,4,"Network manager provides technical expertise in support of an optical and IP/MPLS network, full-time managed services, and network operations functions troubleshooting.",64
33,Scrum Master,4,"Scrum Masters guide Agile teams through the Scrum process, ensuring effective collaboration and delivery.",33
32,IT Project Mananger,4,"IT Project Managers oversee the planning, execution, and successful delivery of IT projects.",32
61,Manager,4,"An information technology (IT) manager supervises their company's computer infrastructure and related areas of concern. He or she may oversee teams that manage network technology, IT security and the software platforms used by the company.",61
60,Lead,4,"An information technology (IT) manager supervises their company's computer infrastructure and related areas of concern. He or she may oversee teams that manage network technology, IT security and the software platforms used by the company.",60
57,Head/Vp/Gm-Technology/Cto,4,"Support to various businesses in their expansion and in achieving the business objectives.Efficient application design along with vendors to provide scalability, performance and availability.Build a strong application integration layer for integrating various application within an entity and across entities.",57
53,Functional Test Planning,5,"A functional tester is responsible for validating the behavior of an application and reviewing the requirements of the clients. They develop and implement functional test plans and test cases. They scan the receiver ID, check for defects and damages, and test the units to ensure proper working conditions.",53
22,Quality Assurance Engineer,5,"QA Engineers test software to ensure its functionality, performance, and security meet quality standards.",22
23,Test Automation Engineer,5,Test Automation Engineers automate test cases to improve efficiency and consistency in the testing process.,23
24,Cybersecurity Analyst,6,Cybersecurity Analysts protect an organization's digital assets by identifying and mitigating security threats.,24
25,Security Engineer,6,Security Engineers design and implement security measures to protect information systems from threats and breaches.,25
26,Ethical Hacker (Penetration Tester),6,"Penetration Testing, Vulnerability Scanning, Exploitation Techniques, Security Tools, Metasploit",26
27,Security Consultant,6,Security Consultants advise organizations on security strategies and help them meet compliance requirements.,27
81,System Administrator,6,system administrator,81
82,System Security,6,system security,82
