specialization_id,field_id,title,description,roadmap_id,skill_list
1,1,Front-End,Front-End Developers are responsible for creating the user interface and user experience on websites and web applications. They focus on designing and building the visible components that users interact with.,1,"[HTML, CSS, JavaScript, Web Design, Responsive Design, React, Angular, Vue.js, Cross-Browser Compatibility]"
2,1,Back-End,"Back-End Developers work on the server-side of web applications, managing data, server infrastructure, and the logic that powers the functionality of websites and web services.",2,"[Node.js, Python, Ruby, Java, Database Management, API Development, Server Security, Express, Flask, Django]"
3,1,Full Stack,"Full Stack Developers have expertise in both Front-End and Back-End development, allowing them to work on all aspects of web applications, from user interfaces to server logic.",3,"[Front-End, Back-End, Full Stack Frameworks, Web Application Development]"
4,1,Software Engineer,"Software Engineers design and develop software applications, focusing on creating efficient, maintainable, and scalable code.",4,"[Software Development, Algorithm Design, Software Architecture, Object-Oriented Programming (OOP), Version Control, Debugging]"
5,1,Software Developer,"Software Developers write, test, and maintain software applications to meet specific requirements, ensuring functionality and performance.",5,"[Java, Python, C++, Software Design, Code Optimization, Software Testing]"
6,1,Mobile App Developer,"Mobile App Developers specialize in creating applications for smartphones and tablets, optimizing them for the respective platforms.",6,"[Mobile App Development, iOS and Android Platforms, Mobile UI/UX Design, App Store Guidelines, Mobile Frameworks, Flutter, React Native]"
7,1,DevOps Engineer,"DevOps Engineers bridge the gap between development and operations, automating processes, and ensuring efficient, reliable software deployment.",7,"[DevOps Practices, Continuous Integration/Continuous Deployment (CI/CD), Cloud Services, AWS, Azure, Automation, Scripting, Containerization, Docker]"
8,1,Game Developer,"Game Developers create interactive, immersive gaming experiences, including game design, development, and testing",8,"[Game Development Engines, Unity, Unreal Engine, 3D Modeling, Physics, Animation, AI]"
9,1,Embedded Systems Developer,"Embedded Systems Developers work on software that runs on embedded devices, such as microcontrollers, ensuring real-time functionality.",9,"[Embedded Systems Programming, Microcontrollers, Firmware Development, IoT (Internet of Things), Real-Time Operating Systems]"
10,2,Data Scientist,"Data Scientists collect, analyze, and interpret large datasets to extract valuable insights, create predictive models, and support data-driven decision-making.",10,"[Data Analysis, Machine Learning, Statistics, Data Visualization, Big Data Technologies, Hadoop, Spark]"
11,2,Data Analyst,"Data Analysts focus on examining data to identify trends, generate reports, and support business decisions.",11,"[Data Analysis, Data Visualization, SQL, Excel, Statistical Analysis, Reporting]"
12,2,Business Intelligence (BI) Developer,BI Developers create data dashboards and reports to help organizations make data-driven decisions.,12,"[Business Intelligence Tools, Tableau, Power BI, Data Warehousing, ETL (Extract, Transform, Load) Processes]"
13,2,Machine learning Engineer,Machine Learning Engineers develop and deploy machine learning models to solve specific problems or automate tasks.,13,"[Machine Learning Algorithms, Deep Learning, Neural Networks, Data Preprocessing, Model Deployment]"
14,2,AI Engineer,"AI Engineers work on AI projects, including speech recognition, image analysis, and chatbots.",14,"[Artificial Intelligence, Natural Language Processing, Computer Vision, AI Frameworks, TensorFlow, PyTorch]"
15,2,Data Engineer,"Data Engineers build and maintain the data infrastructure needed for data collection, processing, and analysis.",15,"[Data Pipeline Development, Data Integration, Database Management, ETL Processes, Big Data Technologies]"
16,3,UI Designer,UI Designers focus on creating visually appealing and user-friendly interfaces for web and mobile applications.,16,"[ User Interface Design, Wireframing, Prototyping, Visual Design, Usability, Design Tools, Adobe XD, Sketch]"
17,3,UX Designer,UX Designers ensure that digital products provide a seamless and enjoyable user experience.,17,"[User Experience Design, User Research, Information Architecture, Interaction Design, Usability Testing]"
18,3,Interaction Designer,"Interaction Designers specialize in designing how users interact with digital interfaces, focusing on navigation and user engagement.",18,"[Interaction Design Principles, User-Centered Design, Interface Prototyping, User Testing]"
19,3,Visual Designer,"Visual Designers create graphics, illustrations, and layouts to enhance the visual appeal of digital and print materials.",19,"[Graphic Design, Typography, Color Theory, Layout Design, Branding]"
20,4,Product Manager,"Product Managers are responsible for defining product features, setting priorities, and managing product development processes.",20,"[Product Management, Roadmap Planning, Agile Methodologies, Stakeholder Communication]"
21,4,Technical Product mManager,"Technical Product Managers bridge the gap between technical teams and product development, ensuring that products meet technical and business requirements.",21,"[Technical Understanding, Product Development, Cross-Functional Team Leadership, Market Analysis]"
22,5,QA Engineer,"QA Engineers test software to ensure its functionality, performance, and security meet quality standards.",22,"[ Software Testing, Test Automation, Quality Assurance, Bug Tracking, Test Planning]"
23,5,Test Automation Engineer,Test Automation Engineers automate test cases to improve efficiency and consistency in the testing process.,23,"[Test Automation Frameworks (e.g., Selenium, Appium), Scripting, Continuous Testing]"
24,6,Cybersecurity Analyst,Cybersecurity Analysts protect an organization's digital assets by identifying and mitigating security threats.,24,"[Cybersecurity Principles, Security Tools, Firewalls, IDS/IPS, Threat Detection, Security Incident Response]"
25,6,security engineer,Security Engineers design and implement security measures to protect information systems from threats and breaches.,25,"[Security Engineering, Network Security, Security Protocols, Encryption, Vulnerability Assessment]"
26,6,ethical hacker (penetration tester),"Penetration Testing, Vulnerability Scanning, Exploitation Techniques, Security Tools, Metasploit",26,"[Penetration Testing, Vulnerability Scanning, Exploitation Techniques, Security Tools, Metasploit]"
27,6,security consultant,Security Consultants advise organizations on security strategies and help them meet compliance requirements.,27,"[Security Consultancy, Risk Assessment, Security Auditing, Compliance Standards, GDPR, HIPAA]"
28,7,network engineer,"Network Engineers design, implement, and manage computer networks, ensuring their reliability and security.",28,"[Network Design, Routing and Switching, Network Protocols, Cisco Technologies, Network Troubleshooting]"
29,7,system administrator,System Administrators maintain and optimize an organization's computer systems and servers.,29,"[System Administration, Server Management, Operating Systems, Scripting, User Access Control]"
