indicator_id,indicator,indicator_name,indicator_description
1,INTJ,Architect,"INTJs (Introverted, Intuitive, Thinking, Judging) are visionaries. They are analytical problem-solvers, innovative thinkers, and planners."
2,ENTJ,Commander,"ENTJs (Extraverted, Intuitive, Thinking, Judging) are natural leaders. They are assertive, strategic, and goal-oriented."
3,INTP,Logician,"INTPs (Introverted, Intuitive, Thinking, Perceiving) are creative thinkers. They are curious, logical, and innovative."
4,ENTP,Debater,"ENTPs (Extraverted, Intuitive, Thinking, Perceiving) are enthusiastic innovators. They are adaptable, resourceful, and open-minded."
5,INFJ,Advocate,"INFJs (Introverted, Intuitive, Feeling, Judging) are empathetic counselors. They are compassionate, insightful, and altruistic."
6,ENFJ,Protagonist,"ENFJs (Extraverted, Intuitive, Feeling, Judging) are natural caregivers. They are sociable, empathetic, and nurturing."
7,INFP,Mediator,"INFPs (Introverted, Intuitive, Feeling, Perceiving) are creative idealists. They are introspective, sensitive, and passionate."
8,ENFP,Campaigner,"ENFPs (Extraverted, Intuitive, Feeling, Perceiving) are enthusiastic explorers. They are imaginative, spontaneous, and open-minded."
9,ISTJ,Logistician,"ISTJs (Introverted, Sensing, Thinking, Judging) are responsible organizers. They are detail-oriented, reliable, and practical."
10,ESTJ,Executive,"ESTJs (Extraverted, Sensing, Thinking, Judging) are efficient administrators. They are confident, organized, and decisive."
11,ISFJ,Defender,"ISFJs (Introverted, Sensing, Feeling, Judging) are caring nurturers. They are supportive, empathetic, and reliable."
12,ESFJ,Consul,"ESFJs (Extraverted, Sensing, Feeling, Judging) are social butterflies. They are outgoing, helpful, and community-focused."
13,ISTP,Virtuoso,"ISTPs (Introverted, Sensing, Thinking, Perceiving) are adventurous problem solvers. They are practical, analytical, and hands-on."
14,ESTP,Entrepreneur,"ESTPs (Extraverted, Sensing, Thinking, Perceiving) are daring thrill-seekers. They are action-oriented, adaptable, and energetic."
15,ISFP,Adventurer,"ISFPs (Introverted, Sensing, Feeling, Perceiving) are artistic dreamers. They are creative, sensitive, and expressive."
16,ESFP,Entertainer,"ESFPs (Extraverted, Sensing, Feeling, Perceiving) are vivacious performers. They are outgoing, energetic, and fun-loving."
